0	0
0	1 2 3 3 4
0	5 6 7 6 7 6 7 6 7 6 8 7 6 7 9 10 5 6 5 6 11 8 6 8 6 12 13 14 6 7 6 8 6 12 13 14 6 15 6 2 16 6 8 6 12 13 14 6 7 6 16 6 8 17 6 12 13 14 6 15 6 2 16 6 18 6 19 6 19 6 8 17 6 12 13 14 6 8 17 6 12 13 14 6 15 6 2 19 6 7 9 10 18 16 10 8 20 6 12 13 14 6 8 21 6 12 13 14 6 16 6 16 6 8 21 6 12 13 14 6 16 6 7 9 10 8 22 6 8 22 6 12 23 24 8 22 6 12 23 24 7 9 10 7 6 7 9 6 7 22 6 8 5 25 26 10 25 26 10 5 6 18 19 6 23 24 6 27 6 28 6 3
0	29
0	0 27 6 25 6 0 29
0	0 5 6 5 6 30 19 6 18 19 6 0 30 16 6 31 6 31 6 5 5 6 18 19 6 19 6 5 6 5 6 5 6 5 6 30 5 6 16 6 18 5 6 5 6 16 6 0 18 5 6 5 32 6 33 33 33 33 7 34 35 29
0	0 29
0	0 0 29
0	0 29
0	0 0 29
0	0 29
0	0 29
0	0 36 29
0	37 29
0	0 0 0
0	38 5 6 5 6 19 6 19 6 39 10 5 6 19 6
0	5 6 5 6 18 40 6 2 15 6 2 41 6 42 6 41 6 42 6 18 19 6 41 6 18 19 6 42 6 41 6 42 6 41 6 41 6 42 6 30 43 6 5 6 5 6 30 5 6 43 6 5 6 43 6 5 6 19 6 19 6 5 6 30 19 6 5 6 41 6 41 6 44 41 6 41 6 42 6 41 6 42 6 41 6 42 6 23 24 6 19 6 19 6 41 6 42 6 23 24 6 23 24 6
0	0 29
0	0 29
0	0
0	3 1 2 28 6 3 3 4 4 3 3 3 3
0	5 6 5 6 11 5 6 11 5 6 11 19 6 5 25 26 10 3
0	0 29
0	0 29
0	37 29
0	1 2
0	3 3 27 6 27 6 27 6 3 3 3 45 10 45 10 45 10 45 10 45 10 45 10 3 5 6 31 6 30 19 6 19 6 23 24 6 16 6 23 24 6 16 6 5 6 5 6 31 6 46 6 23 24 6 19 6 23 24 6 31 6 46 6 31 6 47 6 23 24 6 48 49 24 6 19 6 31 6 48 49 24 6 31 6 12 23 24 46 6 31 6 12 48 49 24 19 6 3 5 6 27 6 28 6 27 6 27 6 27 6 27 6
0	0 0 0 29
0	29
0	50 51 5 6 18 31 6 16 6 39 10 31 6 30 6 52 12 53 6 16 6 52 12 53 6 7 6 52 52 54 54 52 52 52 52 52 5 6 5 6 55 5 6 52 52 52 16 6 30 6 16 6 52 12 53 6 39 10 19 6 54 12 53 6 19 6 30 19 6 30 16 6 19 6 30 19 6 56 10 18 39 10 39 10 5 6 5 6 5 6 39 10 39 10 57 12 53 6 19 6 5 6 5 6 57 12 53 6 39 10 39 10 5 6 30 16 6 16 6 5 6 18 16 6 57 12 53 6 29
